segno	rtt	rto
980	102.068	152.353
981	103.266	152.353
982	101.638	152.353
983	101.637	152.353
984	103.707	152.353
985	105.912	152.353
986	106.864	152.353
987	107.86	152.353
988	106.423	152.353
989	107.59	152.353
990	107.595	152.353
991	107.589	152.353
992	107.082	152.353
993	107.5	152.353
994	107.181	152.353
995	108.094	152.353
996	107.256	152.353
997	107.075	152.353
998	106.537	152.353
999	107.262	152.353
1000	108.019	152.353
1001	108.156	152.353
1002	106.299	152.353
1003	106.822	152.353
1004	106.143	152.353
1005	108.33	152.353
1006	108.419	152.353
1007	109.716	152.353
1008	109.02	152.353
1009	108.978	152.353
1010	108.865	152.353
1011	109.06	147.269
1012	108.244	147.269
1013	110.052	147.269
1014	108.821	147.269
1015	110.19	147.269
1016	110.418	147.269
1017	109.945	147.269
1018	112.003	147.269
1019	113.56	147.269
1020	110.406	147.269
1021	112.372	147.269
1022	111.157	147.269
1023	111.608	147.269
1024	112.416	147.269
1025	114.583	147.269
1026	115.246	147.269
1027	113.468	147.269
1028	114.197	147.269
1029	113.13	147.269
1030	114.155	147.269
1031	113.808	147.269
1032	113.969	147.269
1033	114.433	147.269
1034	113.323	147.269
1035	113.769	147.269
1036	113.79	147.269
1037	115.42	147.269
1038	114.847	147.269
1039	114.173	147.269
1040	114.247	147.269
1041	114.088	147.269
1042	115.082	147.269
1043	116.189	147.269
1044	114.99	147.269
1045	117.182	147.269
1046	117.798	138.482
1047	118.035	138.482
1048	116.753	138.482
1049	118.176	138.482
1050	116.633	138.482
1051	116.608	138.482
1052	116.87	138.482
1053	118.999	138.482
1054	117.788	138.482
1055	118.9	138.482
1056	118.417	138.482
1057	119.271	138.482
1058	119.43	138.482
1059	119.441	138.482
1060	118.256	138.482
1061	118.585	138.482
1062	118.591	138.482
1063	119.791	138.482
1064	118.994	138.482
1065	118.355	138.482
1066	119.313	138.482
1067	120.77	138.482
1068	121.281	138.482
1069	122.688	138.482
1070	120.254	138.482
1071	121.86	138.482
1072	121.087	138.482
1073	120.148	138.482
1074	121.625	138.482
1075	121.378	138.482
1076	122.766	138.482
1077	121.132	138.482
1078	121.107	138.482
1079	119.727	138.482
1080	120.721	138.482
1081	121.2	140.934
1082	121.236	140.934
1083	120.611	140.934
1084	120.731	140.934
1085	120.068	140.934
1086	120.444	140.934
1087	120.816	140.934
1088	120.349	140.934
1089	123.177	140.934
1090	125.134	140.934
1091	126.831	140.934
1092	125.398	140.934
1093	126.115	140.934
1094	126.057	140.934
1095	125.655	140.934
1096	125.647	140.934
1097	126.382	140.934
1098	125.403	140.934
1099	126.763	140.934
1100	125.4	140.934
1101	125.052	140.934
1102	126.284	140.934
1103	124.894	140.934
1104	126.787	140.934
1105	126.131	140.934
1106	124.266	140.934
1107	125.871	140.934
1108	126.258	140.934
1109	126.082	140.934
1110	125.29	140.934
1111	124.841	140.934
1112	125.635	140.934
1113	126.373	148.082
1114	127.158	148.082
1115	129.097	148.082
1116	127.445	148.082
1117	127.553	148.082
1118	128.301	148.082
1119	127.441	148.082
1120	127.212	148.082
1122	126.408	148.082
1123	125.931	148.082
1124	126.485	148.082
1125	125.195	148.082
1126	127.859	148.082
1127	124.911	148.082
1128	125.332	148.082
1129	125.254	148.082
1130	126.272	148.082
1131	125.291	148.082
1132	128.261	148.082
1134	125.342	148.082
1135	125.639	148.082
1136	125.718	148.082
1137	125.453	148.082
1138	125.488	148.082
1140	124.669	148.082
1141	126.43	148.082
1142	127.128	148.082
1143	125.191	148.082
1144	126.626	148.082
1145	125.831	148.082
1146	126.445	148.082
1147	125.09	155.911
1148	126.272	155.911
1149	126.322	155.911
1150	125.623	155.911
1151	126.341	155.911
1152	124.38	155.911
1153	126.038	155.911
1154	125.548	155.911
1155	126.619	155.911
1156	125.781	155.911
1157	125.672	155.911
1158	126.289	155.911
1159	126.796	155.911
1160	125.821	155.911
1161	125.822	155.911
1162	125.299	155.911
1163	126.546	155.911
1166	88.3505	311.822
1167	87.4676	161.1
1168	89.611	161.1
1169	87.3973	161.1
1170	88.8549	161.1
1171	88.7681	161.1
1172	90.1287	161.1
1173	90.0893	161.1
1174	88.8037	161.1
1175	88.5863	161.1
1176	87.9266	161.1
1177	90.4542	161.1
1178	88.1013	161.1
1179	89.3036	161.1
1180	88.0663	161.1
1181	89.955	161.1
1182	91.1005	161.1
1183	92.4868	161.1
1184	91.9224	161.1
1185	90.9008	161.1
1186	91.1181	161.1
1187	91.489	161.1
1188	90.7944	161.1
1189	90.4025	161.1
1190	94.0938	161.1
1191	93.063	161.1
1192	93.4162	161.1
1193	92.5132	161.1
1194	93.6902	161.1
1195	95.1044	161.1
1196	96.5444	161.1
1197	97.4804	161.1
1198	97.5028	161.1
1199	101.427	161.1
1200	82.9667	171.77
1201	83.5823	171.77
1202	84.972	171.77
1203	83.8525	171.77
1204	83.5295	171.77
1205	82.4136	171.77
1206	85.4496	171.77
1207	85.6065	171.77
1208	85.7822	171.77
1209	87.7492	171.77
1210	88.4938	171.77
1211	89.8734	171.77
1212	87.5539	171.77
1213	92.3509	171.77
1214	91.9299	171.77
1215	91.2736	171.77
1216	90.336	171.77
1217	90.9499	171.77
1218	90.9837	171.77
1219	90.2615	171.77
1220	92.2779	171.77
1221	94.6318	171.77
1222	94.3321	171.77
1223	93.4853	171.77
1224	92.0947	171.77
1225	93.2998	171.77
1226	94.4712	171.77
1227	92.3926	171.77
1228	94.2783	171.77
1229	92.8351	171.77
1230	96.469	171.77
1231	97.0138	171.77
1232	96.022	171.77
1233	96.6916	171.77
1234	95.8195	171.77
1235	94.4894	177.555
1236	95.6643	177.555
1237	97.7579	177.555
1238	99.1625	177.555
1239	97.448	177.555
1240	97.4378	177.555
1241	98.0615	177.555
1242	97.7932	177.555
1243	97.7956	177.555
1244	96.7618	177.555
1245	98.2156	177.555
1246	99.9807	177.555
1247	99.1826	177.555
1248	99.0037	177.555
1249	99.5689	177.555
1250	99.8485	177.555
1251	99.7536	177.555
1252	99.8655	177.555
1253	99.4646	177.555
1254	100.133	177.555
1255	100.164	177.555
1256	99.3115	177.555
1257	97.3347	177.555
1258	96.1327	177.555
1259	97.857	177.555
1260	99.992	177.555
1261	102.401	177.555
1262	102.355	177.555
1263	102.493	177.555
1264	103.523	177.555
1265	103.271	177.555
1266	103.842	168.559
1267	104.343	168.559
1268	103.843	168.559
1269	104.543	168.559
1270	105.855	168.559
1271	105.285	168.559
1272	105.614	168.559
1273	103.89	168.559
1274	104.662	168.559
1275	107.04	168.559
1276	106.708	168.559
1277	107.4	168.559
1278	107.808	168.559
1279	107.509	168.559
1280	106.554	168.559
1281	107.007	168.559
1282	106.714	168.559
1283	108.074	168.559
1284	106.364	168.559
1285	108.217	168.559
1286	107.688	168.559
1287	107.038	168.559
1288	107.244	168.559
1289	106.829	168.559
1290	106.217	168.559
1291	109.766	168.559
1292	109.252	168.559
1293	109.703	168.559
1294	109.648	168.559
1295	109.627	168.559
1296	112.302	168.559
1297	112.031	155.954
1298	112.887	155.954
1299	111.272	155.954
1300	111.756	155.954
1301	111.75	155.954
1302	111.374	155.954
1303	112.208	155.954
1304	112.644	155.954
1305	112.153	155.954
1306	113.105	155.954
1307	115.239	155.954
1308	113.844	155.954
1309	114.477	155.954
1310	113.895	155.954
1311	115.652	155.954
1312	115.04	155.954
1313	115.121	155.954
1314	113.235	155.954
1315	113.634	155.954
1316	114.281	155.954
1317	113.265	155.954
1318	114.521	155.954
1319	117.008	155.954
1320	116.658	155.954
1321	115.127	155.954
1322	112.897	155.954
1323	114.271	155.954
1324	114.976	155.954
1325	118.77	155.954
1326	116.022	155.954
1327	117.879	155.954
1328	118.183	155.954
1329	118.942	149.353
1330	118.468	149.353
1331	120.52	149.353
1332	118.795	149.353
1333	118.679	149.353
1334	118.872	149.353
1335	119.589	149.353
1336	118.945	149.353
1337	118.008	149.353
1338	117.984	149.353
1339	118.847	149.353
1340	118.911	149.353
1341	118.702	149.353
1342	118.053	149.353
1343	117.709	149.353
1344	120.605	149.353
1345	121.632	149.353
1346	121.893	149.353
1347	122.471	149.353
1348	121.042	149.353
1349	120.698	149.353
1350	121.881	149.353
1351	123.533	149.353
1352	121.873	149.353
1353	121.539	149.353
1354	123.127	149.353
1355	123.439	149.353
1356	124.21	149.353
1357	123.203	149.353
1358	121.525	149.353
1359	124.791	149.353
1360	123.544	149.353
1361	124.664	150.776
1362	125.151	150.776
1363	125.626	150.776
1365	124.255	150.776
1366	125.818	150.776
1367	126.097	150.776
1368	126.787	150.776
1369	124.938	150.776
1370	124.984	150.776
