segno	rtt	rto
1114	204.508	304.729
1115	204.353	304.729
1116	206.363	304.729
1117	209.438	304.729
1118	210.996	304.729
1119	210.578	304.729
1120	210.419	304.729
1121	207.091	304.729
1122	209.523	304.729
1123	210.93	304.729
1124	212.136	304.729
1125	212.717	304.729
1126	212.313	304.729
1127	211.403	304.729
1128	210.477	304.729
1129	212.866	304.729
1130	212.223	304.729
1131	211.606	304.729
1132	211.745	304.729
1133	217.044	306.627
1134	214.463	306.627
1135	213.997	306.627
1136	214.967	306.627
1137	214.93	306.627
1138	215.379	306.627
1139	215.03	306.627
1140	212.784	306.627
1141	214.581	306.627
1142	215.371	306.627
1143	214.878	306.627
1144	215.55	306.627
1145	212.036	306.627
1146	213.487	306.627
1147	213.822	306.627
1148	214.835	306.627
1149	216.909	306.627
1150	214.7	306.627
1151	214.871	306.627
1152	214.7	306.627
1153	215.412	306.627
1154	212.534	306.627
1155	211.675	306.627
1156	214.785	306.627
1157	214.388	306.627
1158	214.959	306.627
1159	214.832	306.627
1160	217.171	306.627
1161	216.737	306.627
1162	215.126	306.627
1163	216.2	306.627
1164	216.756	306.627
1165	216.733	306.627
1166	217.578	306.627
1167	215.129	306.627
1168	216.661	306.627
1169	217.671	306.627
1170	216.813	306.627
1171	216.322	306.627
1172	217.892	306.627
1173	217.176	306.627
1174	217.296	306.627
1175	218.365	306.627
1176	217.485	306.627
1177	216.257	306.627
1178	216.862	306.627
1179	217.9	306.627
1180	218.706	306.627
1181	219.582	317.992
1182	220.316	317.992
1183	218.788	317.992
1184	218.613	317.992
1185	219.271	317.992
1186	218.577	317.992
1187	219.769	317.992
1188	218.984	317.992
1189	218.964	317.992
1190	218.846	317.992
1191	219.585	317.992
1192	218.569	317.992
1193	218.962	317.992
1194	219.235	317.992
1195	218.675	317.992
1196	219.3	317.992
1197	218.546	317.992
1198	218.666	317.992
1199	217.345	317.992
1200	218.43	317.992
1201	218.833	317.992
1202	217.575	317.992
1203	221.886	317.992
1204	219.116	317.992
1205	218.757	317.992
1206	217.996	317.992
1207	219.938	317.992
1208	221.454	317.992
1209	222.41	317.992
1210	220.97	317.992
1211	220.601	317.992
1212	222.287	317.992
1213	221.454	317.992
1214	221.62	317.992
1215	220.336	317.992
1216	220.133	317.992
1217	220.724	317.992
1218	221.348	317.992
1219	223.468	317.992
1220	221.424	317.992
1221	219.893	317.992
1222	221.616	317.992
1223	222.84	317.992
1224	221.002	317.992
1225	220.564	317.992
1226	221.412	317.992
1227	221.828	317.992
1228	221.928	317.992
1229	221.724	317.992
1230	226.521	325.151
1231	225.609	325.151
1232	228.63	325.151
1233	227.573	325.151
1234	226.598	325.151
1235	226.736	325.151
1236	227.057	325.151
1237	226.615	325.151
1238	227.916	325.151
1239	226.632	325.151
1240	226.087	325.151
1241	227.458	325.151
1242	228.491	325.151
1243	228.234	325.151
1244	228.187	325.151
1245	226.464	325.151
1246	226.405	325.151
1247	227.696	325.151
1248	228.265	325.151
1249	228.162	325.151
1250	226.98	325.151
1251	227.734	325.151
1252	224.479	325.151
1253	225.188	325.151
1254	228.482	325.151
1255	228.226	325.151
1256	226.256	325.151
1257	224.193	325.151
1258	224.978	325.151
1259	227.744	325.151
1260	229.275	325.151
1261	231.167	325.151
1262	228.977	325.151
1263	231.001	325.151
1264	228.719	325.151
1265	229.49	325.151
1266	231.1	325.151
1267	229.49	325.151
1268	230.77	325.151
1269	228.158	325.151
1270	228.585	325.151
1271	231.51	325.151
1272	229.62	325.151
1273	227.318	325.151
1274	229.508	325.151
1275	229.07	325.151
1276	229.528	325.151
1277	229.729	325.151
1278	228.567	325.151
1279	228.777	325.151
1280	230.647	334.356
1281	229.231	334.356
1282	228.956	334.356
1283	229.435	334.356
1284	230.97	334.356
1285	229.172	334.356
1286	229.519	334.356
1287	229.807	334.356
1288	228.21	334.356
1289	230.618	334.356
1290	229.123	334.356
1291	234.905	334.356
1292	232.819	334.356
1293	231.228	334.356
1294	229.261	334.356
1295	230.033	334.356
1296	240.743	334.356
1297	238.775	334.356
1298	237.364	334.356
1299	235.571	334.356
1300	234.404	334.356
1301	232.479	334.356
1302	232.132	334.356
1303	232.241	334.356
1304	229.607	334.356
1305	231.739	334.356
1306	230.352	334.356
1307	229.137	334.356
1308	231.626	334.356
1309	229.894	334.356
1310	230.996	334.356
1311	231.829	334.356
1312	230.763	334.356
1313	233.391	334.356
1314	230.906	334.356
1315	232.079	334.356
1316	233.317	334.356
1317	230.697	334.356
1318	235.702	334.356
1319	233.492	334.356
1320	232.204	334.356
1321	234.695	334.356
1322	230.454	334.356
1323	231.688	334.356
1324	235.447	334.356
1325	232.151	334.356
1326	232.208	334.356
1327	231.67	334.356
1328	230.624	334.356
1329	231.306	334.356
1330	233.522	334.356
1331	228.685	341.669
1332	226.483	341.669
1333	231.935	341.669
1334	233.761	341.669
1335	232.585	341.669
1336	233.652	341.669
1337	232.103	341.669
1338	233.893	341.669
1339	233.702	341.669
1340	232.551	341.669
1341	233.632	341.669
1342	226.427	341.669
1343	228.447	341.669
1344	230.381	341.669
1345	233.905	341.669
1346	233.209	341.669
1347	221.743	341.669
1348	223.312	341.669
1349	224.53	341.669
1350	227.156	341.669
